id,name,type,party,age,sex
Platzeck,Matthias Platzeck,0,11,4,1
Pofalla,Ronald Pofalla,0,9,4,1
Praetorius,Barbara Praetorius,0,NA,NA,2
Tillich,Stanislaw Tillich,0,9,4,1
Hasselfeldt,Gerda Hasselfeldt,0,10,4,2
Kampeter,Steffen Kampeter,0,10,3,1
Kampeter,Stefan Kapeter,0,NA,3,1
Kempf,Dieter Kempf,0,NA,4,1
Nemat,Claudia Nemat,0,NA,3,2
Reiche,Katherina,0,9,2,2
Roestel,Gunda Roestel,0,12,3,2
Schweitzer,Eric Schweitzer,0,NA,3,1
Grothus,Antje Grothus,0,NA,NA,2
Wodtke,Hannelore Wodtke,0,9,NA,2
Herntier,Christine Herntier,0,NA,4,2
Kreuzberg,Michael Kreuzberg,0,9,4,1
Priggen,Reiner Priggen,0,12,4,1
Vassiliadis,Michael Vassiliadis,0,11,3,1
Scheidt,Andreas Scheidt,0,11,3,1
Koerzell,Stefan Koerzell,0,11,3,1
Kaiser,Martin Kaiser,0,NA,3,1
Weiger,Hubert Weiger,0,NA,5,1
Niebert,Kai Niebert,0,NA,1,1
Allmendinger,Jutta Allmendinger,0,NA,4,2
Matthes,Felix Matthes,0,NA,3,1
Schellnhuber,Hans Joachim Schellnhuber,0,NA,4,1
Niebuhr,Annekathrin Niebuhr,0,NA,NA,2
Wehrspohn,Ralf Wehrspohn,0,NA,2,1
Laemmel,Andreas Laemmel,0,9,3,1
Lenz,Andreas Lenz,0,10,1,1
Miersch,Matthias Miersch,0,11,2,1